,name,archetype,position,overall,outside_scoring,athleticism,inside_scoring,playmaking,defending,rebounding,intangibles,potential,total_attributes,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,speed,acceleration,strength,vertical,stamina,hustle,overall_durability,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,interior_defense,perimeter_defense,steal,block,lateral_quickness,help_defense_iq,pass_perception,defensive_consistency,offensive_rebound,defensive_rebound,weight,height
54,Michael Jordan,2-Way Slashing Playmaker,SG,98,89,89,84,85,86,68,98,99,"3,276",94,92,70,84,98,98,87,89,57,98,99,98,96,96,75,98,55,85,75,92,98,88,85,84,88,79,68,98,90,51,98,92,94,95,67,68,88,198
55,Scottie Pippen,2-Way Finisher,SF,82,71,82,72,72,77,60,79,95,"2,843",75,70,66,66,75,75,89,89,55,82,85,86,85,84,70,95,55,75,55,71,70,70,77,84,69,60,55,86,83,55,90,79,83,85,58,62,99,203
56,Horace Grant,Paint Defender,PF,82,68,68,71,39,73,74,98,85,"2,565",73,73,34,70,80,80,40,39,75,62,85,89,86,55,88,66,70,70,79,60,82,52,34,25,50,35,89,63,61,52,43,91,88,95,71,77,97,208
57,Bill Cartwright,Paint Defender,C,75,65,62,64,35,57,66,85,79,"2,270",74,52,25,76,85,80,54,54,75,35,78,60,79,32,70,40,65,74,74,72,85,40,26,40,40,30,75,25,45,51,25,83,75,80,63,69,110,216
58,John Paxson,Pass-First Point,PG,75,80,76,39,81,57,33,95,76,"2,423",67,80,79,86,95,75,74,74,56,59,88,91,87,60,25,25,25,29,25,44,82,85,82,71,84,82,35,65,61,30,78,68,54,65,29,37,83,188
59,Craig Hodges,Shooter,PG,75,80,69,40,72,53,38,98,75,"2,316",72,78,92,84,76,80,75,75,30,60,84,77,79,67,25,25,25,29,25,49,75,70,79,75,72,65,30,60,63,30,75,58,48,60,36,40,86,188
60,Sam Vincent,Mid-Range Facilitator,PG,74,74,74,45,79,53,43,84,75,"2,379",82,84,66,82,64,65,77,77,35,82,87,79,78,84,25,25,25,29,25,61,82,82,79,79,80,73,28,60,61,35,75,69,54,45,36,50,83,188
61,Dave Corzine,Glass Cleaner,C,73,69,50,57,41,54,80,95,75,"2,180",77,65,51,73,75,70,25,25,70,30,70,48,85,33,50,40,70,65,69,56,70,55,28,25,58,38,70,25,58,57,25,70,54,70,79,81,113,211
62,Charles Davis,Rebounder,PF,70,71,60,51,41,58,66,64,73,"2,185",70,74,56,73,85,65,47,42,66,58,70,60,79,64,45,60,25,51,50,49,62,45,52,25,50,34,64,45,58,40,45,70,68,70,71,60,97,201
63,Brad Sellers,Paint Defender,SF,69,68,59,55,41,60,51,98,70,"2,214",73,65,66,85,57,60,51,42,45,60,70,65,80,48,77,52,48,50,42,53,70,50,38,36,48,34,64,56,58,63,65,62,52,60,54,47,95,213
64,Will Perdue,Glass Cleaner,C,68,53,52,52,35,53,78,98,75,"2,014",48,35,25,57,95,55,25,25,73,36,60,65,77,25,75,45,61,40,55,61,50,48,25,25,42,35,66,25,58,58,25,69,56,65,76,80,108,213
65,Jack Haley,Position: PF,"Height: 6&apos10"" (208cm)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
66,Michael Jordan,2-Way Slashing Playmaker,SG,99,92,89,84,85,87,55,70,99,"3,238",98,97,75,85,96,98,87,89,57,98,99,94,98,96,75,98,40,85,94,85,98,85,88,86,95,72,68,98,91,56,98,92,94,95,47,62,88,198
67,Scottie Pippen,2-Way Facilitating Finisher,SF,89,76,84,81,82,85,74,70,95,"3,093",76,72,67,70,98,75,88,88,57,86,92,86,88,81,70,95,77,80,65,82,98,86,77,84,86,79,69,93,87,58,93,92,91,95,72,75,95,203
68,Horace Grant,Glass-Cleaning Lockdown,PF,82,71,76,73,45,66,81,98,85,"2,637",73,78,42,71,80,80,67,67,81,60,85,88,83,55,85,65,72,72,78,68,87,50,36,49,55,37,91,42,63,56,42,84,60,90,80,82,97,208
69,John Paxson,Sharpshooting Facilitator,PG,78,83,75,40,82,64,33,90,78,"2,500",72,83,88,82,95,80,74,74,58,55,87,91,85,60,25,25,25,29,25,54,80,87,78,71,88,84,35,79,62,27,81,78,75,75,29,36,83,188
70,B.J. Armstrong,3PT Facilitator,PG,75,78,72,42,79,48,39,74,76,"2,316",69,79,91,87,70,70,82,82,33,63,90,75,82,72,25,25,25,29,25,56,78,80,80,82,82,71,25,50,65,27,69,60,44,45,33,45,79,188
71,Stacey King,Paint Defender,C,74,63,72,66,39,63,73,40,82,"2,376",83,74,52,70,60,40,64,40,80,74,85,75,84,65,80,60,72,68,75,50,58,40,35,25,64,31,75,49,58,75,49,78,60,60,77,69,104,211
72,Bill Cartwright,Paint Defender,C,74,62,59,63,41,54,67,88,79,"2,226",65,52,25,69,85,75,49,49,73,30,78,59,78,30,75,40,65,74,77,61,80,49,34,37,50,33,74,25,55,35,25,80,60,80,67,66,110,216
73,Scott Williams,Glass Cleaner,PF,73,62,60,55,52,57,83,98,72,"2,282",61,65,26,71,98,50,25,25,70,43,98,80,77,32,77,40,40,55,44,65,90,59,41,25,80,55,70,25,63,63,25,60,69,80,91,74,104,208
74,Will Perdue,Glass-Cleaning Lockdown,C,72,55,52,54,35,58,89,98,75,"2,118",48,37,25,66,98,55,25,25,78,32,65,64,78,25,69,42,61,40,44,70,80,47,25,25,48,31,79,25,59,76,25,70,65,65,91,87,108,213
75,Dennis Hopson,Ball Hawk,SF,72,69,68,56,70,65,55,60,75,"2,446",70,70,65,73,80,55,74,69,54,57,85,60,74,73,25,25,55,70,70,45,85,72,74,70,70,63,54,70,71,54,70,75,60,65,53,56,NaN,196
76,Craig Hodges,Shooter,PG,72,79,68,38,71,52,34,80,73,"2,244",72,77,86,96,76,65,72,72,30,60,84,77,79,62,25,25,25,29,25,41,75,72,76,72,72,61,30,62,65,27,76,62,30,65,32,36,86,188
77,Cliff Levingston,Paint Defender,PF,69,58,66,53,43,60,70,80,83,"2,231",61,55,51,64,55,60,45,40,70,65,75,90,80,52,60,61,44,44,36,66,60,50,56,25,50,33,72,44,61,67,44,69,58,65,78,62,95,203
78,Michael Jordan,2-Way Threat,SG,99,92,89,84,86,89,61,98,99,"3,313",98,99,78,83,98,98,85,88,68,96,99,94,96,98,70,97,40,95,96,80,98,82,88,86,94,79,70,98,91,59,98,99,99,98,58,63,88,198
79,Scottie Pippen,2-Way Mid-Range Maestro,SF,94,83,89,82,82,86,74,85,95,"3,204",85,84,70,66,98,95,88,88,77,86,98,98,88,88,65,95,70,80,70,88,98,86,77,84,88,77,64,97,83,61,97,94,95,98,71,77,95,203
80,Horace Grant,Glass-Cleaning Lockdown,PF,83,72,75,73,45,69,78,98,85,"2,655",73,78,45,61,98,75,66,66,81,60,85,82,83,55,84,64,75,75,75,68,87,49,36,49,52,40,92,42,63,62,42,88,70,95,89,67,97,208
81,B.J. Armstrong,Playmaking Shot Creator,PG,79,88,73,42,80,52,35,90,79,"2,423",82,88,90,86,95,85,82,82,37,63,90,75,82,72,25,25,25,29,25,54,78,84,86,82,82,67,25,65,61,30,78,64,25,65,31,39,79,188
82,Bill Cartwright,Paint Defender,C,74,64,57,60,39,58,62,92,86,"2,217",74,52,25,73,83,75,47,47,79,30,66,55,76,34,50,40,65,74,74,62,80,44,32,35,46,36,79,25,56,37,25,83,74,82,62,62,110,216
83,Rodney McCray,Multi-Position Defender,SF,74,65,65,58,51,75,55,80,77,"2,421",69,64,60,69,70,55,50,42,75,57,74,75,79,64,45,60,50,60,50,49,85,55,62,47,52,40,82,82,55,50,82,81,80,85,53,56,99,201
84,Stacey King,Glass Cleaner,C,73,64,72,66,39,63,78,30,82,"2,382",84,74,58,70,60,40,64,40,80,74,85,75,84,65,80,60,72,68,75,50,58,40,35,25,64,31,75,49,58,75,49,78,60,60,82,73,104,211
85,Will Perdue,Glass Cleaner,C,73,61,53,62,37,57,79,98,75,"2,202",76,38,26,60,98,65,25,25,78,32,68,65,80,55,70,40,71,60,74,69,57,47,25,25,47,40,75,25,58,76,25,68,63,65,77,81,108,213
86,Scott Williams,Glass Cleaner,PF,73,62,63,57,34,63,87,98,73,"2,282",61,65,26,71,98,50,25,25,75,42,98,98,77,32,77,40,40,55,44,66,98,39,35,25,39,32,75,44,67,72,25,70,77,75,88,85,104,208
87,John Paxson,Sharpshooter,PG,72,81,71,38,72,56,33,70,76,"2,312",68,83,88,85,86,75,74,74,54,50,86,81,79,66,25,25,25,29,25,33,79,74,78,71,74,65,35,60,64,27,75,67,55,65,30,36,83,188
88,Darrell Walker,Playmaker,PG,68,60,75,48,75,51,39,60,82,"2,270",72,69,42,60,65,50,83,83,50,74,85,77,75,74,25,70,32,43,25,35,80,74,76,83,75,69,27,62,63,35,69,54,49,45,35,43,NaN,193
89,Ed Nealy,Paint Defender,PF,66,69,55,46,34,56,60,64,66,"2,039",63,55,70,75,78,70,25,25,70,30,65,95,78,42,39,40,40,40,48,37,85,35,38,25,39,31,75,27,64,35,27,78,70,75,47,73,107,201
90,Michael Jordan,All-Around 2-Way,SG,99,93,91,85,86,88,58,99,99,"3,322",97,99,84,83,98,98,85,88,71,96,99,98,99,97,70,95,40,97,98,84,98,92,88,84,94,70,79,98,86,50,98,99,99,98,52,63,88,198
91,Scottie Pippen,Playmaking 3-Level 2-Way,SG,96,86,89,82,84,89,68,90,95,"3,237",83,84,87,67,98,95,87,87,80,84,98,98,87,88,55,91,77,80,80,85,98,89,80,81,89,79,79,98,75,70,98,97,95,98,66,69,95,203
92,Dennis Rodman,Glass-Cleaning Lockdown,PF,89,67,86,71,70,78,97,85,89,"2,909",80,65,50,52,98,55,79,79,82,82,91,99,87,55,80,65,70,72,55,70,98,77,55,70,80,70,95,70,57,60,55,95,95,98,99,95,95,201
93,Toni Kukoc,Sharpshooter,SF,83,80,69,71,70,64,65,98,85,"2,710",79,84,84,77,83,75,69,69,60,60,83,65,79,76,60,65,72,72,72,79,70,65,75,67,74,70,64,70,62,50,76,64,53,75,62,67,86,208
94,Ron Harper,Perimeter Lockdown,PG,80,75,78,57,76,71,47,98,87,"2,683",74,70,70,70,98,70,79,79,56,77,90,82,84,74,40,60,36,55,51,61,82,70,80,79,90,61,42,87,83,52,87,74,52,90,47,46,83,198
95,Steve Kerr,Sharpshooter,PG,79,88,70,44,74,57,35,80,78,"2,424",76,84,95,92,98,85,73,73,25,57,91,82,89,74,25,25,25,29,25,65,82,82,79,72,84,55,25,66,63,27,79,67,58,70,32,37,79,191
96,Luc Longley,Paint Defender,C,75,68,52,61,39,62,71,98,75,"2,262",77,61,25,77,98,70,25,25,86,29,67,55,75,34,75,40,74,70,72,56,70,50,27,25,50,41,79,25,55,78,25,79,77,75,70,72,119,218
97,Randy Brown,Perimeter Lockdown,PG,73,66,72,42,76,64,41,98,75,"2,382",72,70,50,61,80,65,72,72,41,57,90,89,80,70,25,25,25,29,25,54,82,79,79,72,77,74,25,79,71,32,81,74,81,70,40,41,NaN,188
98,Jud Buechler,3PT Specialist,SF,71,74,63,42,56,55,56,80,71,"2,205",64,66,90,63,74,85,55,46,45,60,75,80,80,62,35,66,25,36,25,25,63,60,59,51,68,42,45,50,73,42,60,62,56,55,60,51,99,198
99,Jason Caffey,Position: PF,"Height: 6&apos8"" (203cm)",71,4,--,4,--,--,--,--,--,55,--,--,25,--,--,--,--,--,--,--,--,--,--,--,--,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
100,John Salley,Paint Defender,PF,69,57,56,56,43,59,66,98,75,"2,175",57,38,27,69,98,55,40,27,65,57,66,68,70,50,70,48,45,50,50,68,68,50,45,27,49,43,69,36,61,71,36,68,69,60,65,67,104,211
101,Dickey Simpkins,Paint Defender,PF,69,59,56,53,37,57,70,98,69,"2,110",67,51,36,62,80,55,25,25,85,47,67,64,80,35,77,40,48,48,40,73,60,45,30,25,49,34,75,30,55,47,30,70,73,75,76,64,112,206
102,Bill Wennington,Paint Defender,C,67,71,51,52,35,59,57,60,68,"2,089",72,72,37,86,83,75,30,30,70,30,65,55,77,31,50,40,58,63,66,45,66,34,45,25,39,32,74,30,58,51,30,77,76,75,57,57,110,213
103,James Edwards,Paint Defender,C,66,58,54,61,33,53,54,80,80,"2,071",62,50,25,61,72,75,54,54,75,25,60,37,75,44,65,40,50,75,65,67,84,33,34,37,31,31,68,25,35,62,25,62,70,75,57,51,101,213
104,Michael Jordan,2-Way Threat,SG,98,91,90,82,80,88,52,88,99,"3,222",95,96,81,78,98,98,82,83,78,90,98,98,99,97,60,80,40,98,98,84,98,84,85,79,84,70,85,98,73,50,98,99,99,98,48,56,88,198
105,Scottie Pippen,Mid-Range Facilitator,SF,90,78,88,77,80,89,68,40,95,"3,086",83,84,87,67,65,80,86,86,80,84,98,98,87,88,55,91,77,80,80,50,98,89,80,80,70,79,79,98,79,70,98,97,95,98,66,69,95,203
106,Dennis Rodman,Glass-Cleaning Lockdown,PF,85,60,86,69,64,78,97,50,89,"2,796",80,65,50,52,60,55,79,79,82,82,91,99,87,55,80,65,70,72,55,60,98,77,55,70,50,70,95,70,57,60,55,95,95,98,99,95,95,203
107,Toni Kukoc,Mid-Range Facilitator,SF,83,82,71,77,76,58,75,85,85,"2,773",88,84,80,70,85,85,70,70,65,67,83,65,79,79,75,75,79,78,79,79,70,78,78,69,82,75,64,69,63,51,68,58,43,50,76,74,86,211
108,Ron Harper,Perimeter Lockdown,PG,80,74,78,58,71,76,49,95,85,"2,681",74,70,70,75,79,73,79,79,57,74,89,82,84,70,40,60,36,55,51,67,82,66,80,79,65,63,44,88,75,55,89,83,80,90,51,47,83,198
109,Luc Longley,Glass-Cleaning Lockdown,C,78,69,55,75,44,64,81,85,78,"2,458",88,61,28,73,84,80,25,25,86,27,67,80,75,54,80,60,79,76,79,79,95,50,27,25,58,61,82,25,62,79,25,80,78,80,78,84,119,218
