,name,archetype,position,overall,outside_scoring,athleticism,inside_scoring,playmaking,defending,rebounding,intangibles,potential,total_attributes,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,speed,acceleration,strength,vertical,stamina,hustle,overall_durability,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,interior_defense,perimeter_defense,steal,block,lateral_quickness,help_defense_iq,pass_perception,defensive_consistency,offensive_rebound,defensive_rebound,anchor,backdown_punisher,boxout_beast,brick_wall,clutch_shooter,dream_shake,dropstepper,masher,post_move_lockdown,post_playmaker,post_spin_technician,rise_up,vice_grip,aerial_wizard,amped,break_starter,bully,fearless_finisher,middy_magician,pogo_stick,pro_touch,volume_shooter,agent_3,catch_and_shoot,claymore,green_machine,needle_threader,rebound_chaser,acrobat,ankle_breaker,bail_out,blinders,deadeye,dimer,floor_general,guard_up,handles_for_days,hyperdrive,killer_combos,slithery,space_creator,special_delivery,clamp_breaker,giant_slayer,limitless_range,unpluckable,fast_twitch,mismatch_expert,quick_first_step,slippery_off_ball,corner_specialist,glove,interceptor,ankle_braces,challenger,clamps,menace,off_ball_pest,pick_dodger,chase_down_artist,work_horse,comeback_kid,posterizer,limitless_takeoff,rhythm_shooter,weight,height
10,Furkan Korkmaz,Athletic Finisher,SF,73,76,74,60,61,52,44,95,75,"2,432",72,70,71,82,85,75,70,69,50,80,85,81,80,75,40,75,30,60,45,69,88,54,73,64,65,50,40,64,40,40,69,56,62,45,34,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,91,201
11,Paul Reed,Glass Cleaner,PF,73,69,65,66,44,61,77,80,75,"2,410",70,70,66,74,75,60,49,47,62,65,80,70,80,64,80,70,60,62,62,57,70,48,52,41,44,35,69,43,79,81,52,66,58,40,86,68,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,206
12,Georges Niang,Inside-Out Scorer,PF,73,78,68,61,56,51,43,60,74,"2,340",90,73,84,86,70,65,44,46,60,72,88,80,84,75,25,50,70,71,70,51,74,65,67,44,70,36,60,55,36,42,55,62,60,40,33,53,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,104,201
13,Danuel House Jr.,Inside-Out Scorer,SF,72,72,70,64,61,56,49,55,74,"2,415",50,74,81,76,75,75,63,60,50,75,85,75,83,78,80,75,47,51,47,58,79,69,70,60,69,36,52,60,42,61,70,59,48,55,38,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,198
14,Jaden Springer,3PT Shooter,PG,70,71,74,49,76,63,34,65,77,"2,425",74,73,77,81,75,45,82,82,49,72,85,70,80,74,25,50,28,45,32,55,80,75,81,82,75,65,44,69,66,50,80,68,67,60,30,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,193
15,Isaiah Joe,3PT Shooter,SG,69,76,73,50,56,54,39,70,74,"2,303",80,75,76,85,89,50,72,74,47,79,80,75,87,69,40,60,35,38,30,45,85,57,68,63,59,35,42,69,38,35,77,61,52,55,30,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,193
16,Charlie Brown Jr.,Shooter,SG,69,67,70,49,61,53,60,30,73,"2,232",75,76,79,82,45,45,76,76,55,75,80,45,83,79,40,45,30,45,38,42,70,62,77,75,60,29,40,65,51,60,72,63,40,35,67,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,198
17,Julian Champagnie,Perimeter Defender,SG,68,64,69,53,62,55,49,50,72,"2,268",69,74,75,78,50,40,69,69,37,67,85,75,80,74,40,60,43,44,52,41,73,66,68,65,64,47,45,67,62,40,68,55,66,40,44,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,201
18,Trevelin Queen,Scrappy Two Guard,SG,67,65,70,56,61,51,59,50,72,"2,291",67,68,74,73,70,40,70,70,49,75,80,65,83,70,40,75,30,45,45,66,80,65,70,66,62,44,40,60,46,51,70,55,47,40,54,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,198
19,Moses Malone,2-Way Inside-the-Arc Scorer,C,97,83,88,95,50,83,99,41,97,"3,124",98,78,43,82,98,98,78,74,97,85,98,95,92,88,97,85,96,97,98,98,98,60,45,43,70,32,97,57,72,95,57,95,95,98,99,98,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,117,208
20,Allen Iverson,All-Around Threat,SG,96,92,93,63,91,76,40,85,97,"3,028",90,94,84,87,98,98,98,98,65,97,98,97,98,98,25,65,25,60,33,97,98,93,97,98,90,76,30,88,96,37,90,82,96,91,34,45,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,74,183
21,Julius Erving,2-Way Slashing Point Forward,SF,94,87,91,86,78,86,75,91,94,"3,259",89,80,73,84,98,98,85,81,85,98,98,95,95,98,80,98,79,80,75,82,95,74,85,81,84,65,79,90,77,69,90,96,93,95,75,75,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,90,201
22,Dolph Schayes,2-Way 3-Level Shot Creator,PF,94,90,80,86,64,79,96,80,94,"3,104",91,92,90,76,95,95,69,69,85,71,95,95,75,92,80,75,95,95,92,72,90,64,79,63,65,50,90,66,75,75,66,88,84,85,95,96,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,99,203
23,Billy Cunningham,2-Way Point Forward,SF,93,88,87,91,74,77,94,98,93,"3,236",95,84,74,80,98,98,75,74,87,95,98,95,88,90,90,90,92,92,92,92,91,78,77,63,82,72,79,72,78,70,72,80,80,85,92,95,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,113,198
24,Wilt Chamberlain,Paint Beast,C,93,72,84,88,50,75,93,80,93,"2,934",90,58,43,58,90,95,75,60,92,90,95,80,99,75,85,75,97,94,92,92,95,60,44,25,64,55,88,48,64,96,48,89,80,85,93,92,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,124,216
25,Joel Embiid,2-Way 3-Level Scorer,C,92,90,79,91,59,76,88,35,92,"3,022",90,92,81,85,98,95,69,67,95,68,94,90,73,85,90,80,91,91,92,97,98,55,57,62,58,63,96,64,43,82,64,96,64,95,82,93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,113,213
26,Bobby Jones (Robert Clyde),2-Way Inside-the-Arc Scorer,SF,90,65,74,72,61,92,55,90,90,"2,813",80,76,30,86,60,60,75,75,70,78,70,70,78,85,65,65,65,65,78,79,70,56,61,60,78,49,95,92,88,82,92,98,97,95,50,60,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,95,206
27,Hal Greer,All-Around Threat,PG,88,92,80,59,86,76,35,98,88,"2,876",88,92,90,83,98,98,92,92,40,63,98,98,77,91,25,40,50,50,35,85,98,83,86,88,89,84,33,89,74,40,92,95,89,95,31,39,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,79,188
28,Andre Iguodala,2-Way 3-Level Point Forward,SF,88,84,85,71,78,80,49,70,88,"2,952",85,83,85,73,95,85,88,79,68,95,95,85,82,85,55,96,56,57,59,65,95,78,88,81,81,63,80,92,65,45,92,85,86,95,41,56,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,93,198
29,Hersey Hawkins,2-Way Diming 3-Level Scorer,SG,87,92,78,60,78,68,45,98,87,"2,787",86,92,89,89,98,95,80,75,55,79,90,80,90,88,40,55,25,66,35,79,95,80,79,74,80,78,34,76,85,35,76,75,85,75,43,46,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,86,191
30,Doug Collins,2-Way 3-Level Scorer,SG,87,92,72,64,75,72,39,98,87,"2,780",92,94,84,88,97,95,73,68,45,50,95,97,77,88,42,42,70,60,33,80,98,79,77,74,79,64,42,84,78,37,84,84,82,85,41,37,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,81,198
31,George McGinnis,2-Way Inside-the-Arc Scorer,PF,87,80,79,83,59,66,89,90,87,"2,869",88,78,65,71,90,85,59,74,98,60,90,80,90,85,85,75,84,78,89,81,90,58,61,36,75,65,85,60,73,37,60,80,65,65,88,89,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,106,203
32,Ben Simmons,2-Way Slashing Playmaker,PG,86,71,88,86,85,75,68,90,91,"3,073",91,46,35,60,98,98,93,84,80,85,97,97,83,96,83,87,76,73,79,96,98,85,86,84,88,82,72,84,59,57,75,80,85,85,59,76,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,104,208
33,Maurice Cheeks,2-Way Slashing Playmaker,PG,86,80,83,50,85,84,39,40,86,"2,764",86,81,70,87,81,75,80,81,70,70,95,95,90,87,25,25,36,44,25,61,98,82,86,85,88,86,70,97,86,37,97,92,97,95,36,42,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,81,185
34,Giannis Antetokounmpo,2-Way Slashing Playmaker,PF,97,83,91,88,84,86,75,98,97,"3,294",81,80,71,68,98,98,90,87,94,85,98,95,91,98,85,91,79,74,87,97,95,84,87,80,95,76,91,95,46,80,95,96,88,95,57,92,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,109,211
35,Khris Middleton,2-Way 3-Level Scorer,SF,86,86,78,71,75,73,50,98,87,"2,875",86,85,81,88,98,80,71,72,73,66,92,80,90,84,40,65,67,80,83,65,85,78,77,71,78,72,72,85,49,45,85,83,80,85,35,64,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,100,201
36,Jrue Holiday,2-Way Scoring Machine,PG,86,86,77,58,78,80,47,98,86,"2,828",91,88,85,71,98,85,79,79,49,68,90,92,80,82,25,65,30,72,40,55,98,75,86,79,76,76,44,95,73,52,96,89,93,95,41,52,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,92,191
37,Bobby Portis,2-Way 3-Level Scorer,C,80,85,76,78,50,60,77,40,82,"2,666",93,85,83,79,92,80,65,64,80,64,85,90,84,74,75,70,80,80,82,74,85,55,52,59,52,32,78,40,41,63,50,75,65,65,68,85,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,208
38,Brook Lopez,2-Way 3-Level Scorer,C,80,77,64,73,40,70,57,90,80,"2,538",94,83,79,85,70,50,25,25,86,60,92,80,79,70,80,65,80,78,80,50,80,35,35,25,78,28,87,45,41,83,60,88,69,90,59,54,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,127,213
39,Pat Connaughton,Inside-Out Scorer,SF,78,84,78,59,64,54,50,70,77,"2,522",92,69,83,77,98,85,77,78,45,95,80,90,83,92,30,86,35,34,30,76,90,69,78,65,78,32,35,69,49,47,74,50,54,50,39,61,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,94,196
40,Joe Ingles,2-Way Inside-Out Scorer,SF,76,75,71,53,70,66,42,70,77,"2,473",94,75,78,84,75,45,66,67,64,60,92,70,80,80,40,45,50,55,48,33,70,75,70,60,75,68,58,80,37,35,83,78,78,75,31,52,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,99,203
41,Grayson Allen,Inside-Out Scorer,SG,75,83,76,54,66,58,43,80,76,"2,493",79,70,84,85,95,85,84,78,44,81,85,80,82,78,25,70,31,43,42,62,78,70,73,79,74,34,35,72,40,50,74,70,74,45,34,52,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,89,193
42,Serge Ibaka,2-Way Inside-Out Scorer,C,75,70,74,70,41,65,72,35,76,"2,476",93,72,81,82,50,40,49,52,79,83,88,70,94,66,75,75,80,73,76,35,80,29,35,33,72,36,80,56,32,72,57,80,71,75,63,81,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,208
43,George Hill,Mid-Range Shot Creator,PG,73,72,77,52,73,62,45,70,74,"2,477",58,78,73,93,70,60,76,76,52,88,92,74,79,79,25,45,33,61,38,42,90,78,86,76,77,47,48,75,46,37,78,73,70,70,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,193
44,Wesley Matthews,3PT Shooter,SG,72,68,74,62,64,63,41,60,79,"2,467",77,68,77,86,70,30,70,75,55,70,85,80,84,78,45,50,63,65,65,45,85,72,75,68,77,29,38,78,38,45,79,75,79,70,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,193
45,Jordan Nwora,Stretch Four,SF,72,77,68,58,49,52,54,75,78,"2,327",75,61,78,81,93,75,59,57,60,72,82,70,78,74,60,65,49,47,50,62,60,52,64,43,54,33,52,52,37,53,65,54,50,50,41,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,203
46,Jevon Carter,2-Way Shooter,SG,72,75,75,44,71,63,43,50,74,"2,398",64,81,82,81,77,65,76,78,60,71,85,76,81,75,25,35,32,34,30,40,80,75,79,76,70,54,34,79,41,53,83,72,75,70,33,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,185
47,Thanasis Antetokounmpo,Interior Finisher,PF,72,70,76,63,60,52,63,70,73,"2,435",71,66,66,66,85,65,77,75,42,82,80,90,87,80,40,85,53,50,60,69,64,54,69,69,75,32,42,59,46,63,60,54,50,40,67,59,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,198
48,MarJon Beauchamp,Mid-Range Shooter,SG,71,67,75,52,63,64,63,50,78,"2,419",72,77,72,78,50,50,76,76,52,82,89,70,80,75,40,70,29,42,44,40,74,65,70,70,67,45,54,69,70,64,74,65,69,45,59,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,198
49,Sandro Mamukelashvili,Stretch Five,C,71,65,73,65,55,54,62,70,75,"2,394",65,69,82,71,60,45,59,59,73,69,85,85,80,69,65,65,62,60,63,54,85,62,59,49,69,34,65,50,38,61,49,68,52,45,68,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,206
50,Luca Vildoza,Diming Outside Scorer,PG,71,73,76,43,78,58,40,55,74,"2,379",60,80,80,84,82,50,80,80,50,66,90,85,80,68,25,40,25,38,26,50,75,80,78,80,80,72,45,69,60,40,71,60,72,50,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,191
51,Lindell Wigginton,3PT Shooter,PG,69,70,72,48,70,54,43,70,73,"2,313",67,68,78,69,70,65,75,75,44,72,84,71,84,79,30,60,25,40,25,50,75,69,75,74,70,61,27,68,40,37,72,68,67,50,33,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,185
52,A.J. Green,Shooter,SG,67,70,70,49,65,52,37,50,70,"2,231",60,78,79,90,60,50,69,69,42,75,80,75,80,71,40,40,34,34,48,45,80,61,70,68,68,58,40,63,50,40,66,50,60,45,31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,193
53,Kareem Abdul-Jabbar,2-Way Inside-the-Arc Scorer,C,99,82,90,94,56,82,98,60,99,"3,163",98,82,36,76,98,99,81,74,98,88,98,98,95,95,95,85,99,90,98,90,98,52,60,28,82,58,93,56,88,95,56,94,85,90,98,98,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,101,218
54,Oscar Robertson,2-Way Playshot,PG,96,90,83,70,92,79,63,98,96,"3,093",89,87,80,85,98,98,80,80,75,86,90,83,88,98,25,50,70,82,71,73,90,98,89,80,98,97,55,88,72,45,88,95,95,95,63,63,,,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,95,196
